28687	位於	54606
50179	一個	44078
13039	中國	37696
55647	分佈	31973
39366	一種	29991
5334	其中	21486
28668	平方公里	20865
13277	地區	18431
10507	學名	17967
29576	棲息	16356
37201	目前	16065
6168	可達	15957
32203	體長	15797
70583	人口	15746
32374	公分	15356
30824	大陸	14411
20405	屬於	14238
39215	輻鰭	14235
66599	魚綱	14234
63136	生活	13885
31994	以及	13548
67524	面積	13543
9506	主要	13530
24880	公里	13408
42695	美國	13314
55157	植物	13162
10658	海拔	12892
61647	之一	12806
36093	人口密度	12748
62892	該國	12321
30675	不明	11855
26289	習性	11752
30973	建於	11666
71736	人工	11402
43918	市鎮	11351
47850	總面積	11319
72386	海拔高度	11229
7491	栽培	11221
64298	日本	11189
29366	引種	11139
23637	香港	11119
48611	負責	11052
49607	長於	10906
66594	尚未	10556
57211	水域	10417
10437	管轄	10228
45048	亞目	9723
16314	流域	9343
15800	管理	9149
7914	簡稱	8745
67977	包括	8736
16643	南極洲	8244
36397	又稱	8056
14713	西班牙	8029
60691	城鎮	7884
64281	生於	7776
57505	法國	7633
18239	海域	7633
69393	現時	7576
26735	總人口	7522
14468	處於	7492
14130	西班牙語	7003
18705	台灣	6866
30322	公尺	6837
47996	體系	6763
51704	單位	6749
63798	稱為	6693
70339	一般	6680
21017	南極	6660
22060	條約	6546
35468	國家	6473
10251	使用	6391
45992	深度	6177
68471	特有	6008
17485	一部分	5975
22226	屬的	5973
56341	熱帶	5816
27391	一座	5798
53137	之間	5778
11364	底層	5777
32301	公司	5761
4352	根據	5596
17509	英國	5565
20179	進行	5418
40868	可以	5358
43736	作為	5303
26442	雲南	5249
65202	時期	5171
56533	鐵路	5079
10034	英文	4976
62174	魚類	4963
42893	文物保護	4939
48117	生長	4894
8947	重要	4872
44039	時間	4816
17878	南部	4804
11523	成為	4780
66176	歷史	4779
34812	南美洲	4777
42283	研究	4687
52165	城市	4665
45703	命名	4654
11809	車站	4581
40531	年代	4575
28124	公佈	4573
12899	北部	4543
1696	通常	4508
16533	印度	4484
68942	開始	4438
49864	四川	4434
34841	距離	4417
8428	國際	4366
23273	發展	4342
5682	臺灣	4339
59073	俄羅斯	4333
52029	成立	4254
51951	鱸形目	4191
12630	淡水魚	4119
44862	山坡	4117
20450	著名	4108
28658	建築	4107
11873	中心	4067
60926	首府	4035
20053	發生	4025
39509	群島	4023
13813	地圖	3922
32757	不同	3879
29067	組成	3828
69371	山脈	3808
66205	舉行	3804
31466	其他	3789
20915	發現	3773
564	世紀	3758
18754	西部	3742
1676	世界	3719
64994	由於	3710
70287	中華人民共和國	3699
73178	英語	3690
57705	非洲	3669
43747	文化	3667
73111	東部	3583
28767	一條	3566
72405	活動	3546
30791	組織	3500
30637	肉食性	3495
45649	山峰	3476
61811	政治	3466
27732	系統	3456
65273	繪入	3453
72425	形目	3450
14691	當時	3432
25544	中華民國	3365
30039	通過	3330
55881	淡水	3328
15760	境內	3319
68884	人物	3310
56855	名稱	3297
15354	提供	3285
7986	又名	3281
63279	有限公司	3281
6425	最大	3228
21107	用於	3226
26121	探險隊	3224
12303	德國	3219
3793	大學	3195
2455	具有	3182
23064	中部	3177
17437	海岸	3176
70981	政府	3171
43795	年時	3148
9879	類型	3129
62333	卡斯蒂利亞	3124
59082	這個	3090
57087	同時	3054
13021	照片	3054
11969	中層	3032
28977	設計	3021
42010	亞洲	3010
7668	空中	2990
1212	經濟	2984
58117	自治區	2974
67709	認為	2964
19770	全長	2961
38431	巴西	2959
70289	因此	2957
46199	歐洲	2940
41915	部分	2899
20001	地方	2895
20203	為人	2893
39974	出現	2880
40137	正式	2878
26575	期間	2869
73130	因為	2868
46965	太平洋	2864
43980	沒有	2853
65027	立於	2826
13987	廣東	2815
63904	之後	2813
6378	集團	2807
34449	辦理	2791
24034	海軍	2787
37122	西藏	2783
70074	魚科	2761
58965	委員會	2757
72287	經過	2756
56196	代表	2737
38713	作品	2724
56690	關於	2706
16805	廣東省	2674
5858	服務	2670
23054	底質	2659
41152	業務	2649
43446	及其	2630
70705	時代	2595
68940	四川省	2592
63280	郵政編碼	2584
29340	建立	2567
16389	方式	2552
17172	列為	2548
45435	社會	2541
59196	傳統	2524
52419	首都	2521
44686	客運	2509
291	多生	2499
10049	全國	2492
72508	每年	2469
42287	一位	2460
23759	擔任	2458
31838	一些	2447
65137	兩個	2442
45978	工作	2442
69911	擁有	2441
21863	獲得	2439
12331	廣西	2433
29654	產生	2419
16665	所有	2419
55509	來自	2415
17012	發行	2414
62024	輻鰭魚	2401
60087	做為	2397
36965	現在	2393
47934	分別	2391
61992	機構	2373
29607	棲性	2367
61977	製作	2350
69047	鯰科	2348
49761	支流	2341
69181	遺址	2326
56029	鯉科	2309
47090	成員	2308
37041	鯰形	2303
59477	前身	2297
6	第二	2296
65130	出版	2290
63035	影響	2278
7194	最終	2267
20591	北京	2241
69730	形成	2240
42138	拍攝	2233
35687	測量	2226
4228	冰川	2224
30341	萊昂	2222
58113	比賽	2209
3812	運動	2200
38509	食用魚	2196
13751	河流	2194
2322	技術	2193
8559	可能	2185
71644	開發	2178
14319	用來	2173
4942	東北部	2169
52479	後來	2165
72959	一部	2161
2485	最早	2146
17354	提出	2146
11492	創立	2143
22695	事件	2127
46870	範圍	2125
37736	大西洋	2119
30682	電影	2119
51607	附近	2118
58122	西北部	2112
14076	許多	2105
67151	隆頭魚	2097
21701	省級	2091
17969	或者	2066
80	第一	2062
55817	獨立	2062
22282	島嶼	2061
21010	系列	2053
44021	一家	2035
5539	貨運	2034
46518	縮寫	2030
14153	清朝	2029
30786	共有	2026
42357	目的	2012
8229	設立	2011
3469	這些	1997
6963	包含	1995
20953	越南	1995
50087	日至	1985
26265	上海	1983
71706	觀賞魚	1973
66458	例如	1963
70354	岩石	1958
7117	音樂	1952
59126	旅客	1947
15059	形式	1947
23126	項目	1938
10194	為食	1938
6199	最後	1936
11373	參加	1918
26489	原名	1917
46245	他們	1912
5104	這種	1907
28527	秘魯	1904
20453	推出	1900
2652	大區	1897
37239	關係	1895
30587	相關	1895
41375	語言	1878
71062	林中	1876
39146	文物	1874
35500	菊科	1873
2721	生產	1868
52771	分為	1859
3134	大型	1858
30223	內容	1848
17024	學校	1848
37591	西南部	1837
11287	存在	1830
66061	就是	1829
13472	方法	1826
52249	教育	1825
38182	西北	1825
9400	貴州	1816
45832	區域	1816
36025	已經	1816
67154	東南部	1815
60965	天主教	1802
42302	過程	1801
16194	浙江	1796
71041	林下	1792
69300	新疆	1791
7350	湖北	1775
20259	羅馬	1774
17494	太平洋區	1762
34784	最高	1759
12217	問題	1758
71832	曾經	1755
35476	並且	1753
15485	甘肅	1750
53604	街道	1745
32779	灌叢	1736
4146	古代	1735
51835	草地	1732
57517	理論	1730
42049	陝西	1726
33749	畢業	1726
65267	年間	1722
27373	朝鮮	1721
8939	領域	1719
2988	加拿大	1717
37699	作家	1716
44939	東北	1715
23048	參與	1710
50210	地質	1708
38404	西南	1696
24958	綱脂	1688
61604	唯一	1686
59876	連接	1678
43040	總部	1677
2565	澳洲	1677
3472	為主	1671
67306	目脂	1666
38228	一所	1666
1704	小說	1664
13770	溪流	1656
58242	人民政府	1652
17872	特別	1651
14836	經營	1648
66606	舉辦	1643
66081	電視	1642
44396	一帶	1639
41359	各種	1638
23697	河道	1638
61201	河畔	1636
56153	水庫	1634
48167	創作	1634
44930	人類	1634
32021	湖南	1633
38110	山東	1630
37321	正常	1630
60432	調查局	1613
58096	早期	1611
33449	現代	1610
30122	福建	1605
32823	足球	1602
24169	見於	1595
65796	半島	1586
45419	慈鯛	1586
12855	所以	1584
1234	意大利	1575
23406	烏克蘭	1570
44824	山地	1569
59773	該站	1562
4954	進士	1562
33051	協會	1558
20130	學院	1558
12747	中央	1545
27606	平方千米	1540
21729	動物	1539
19408	利用	1537
60249	共同	1531
59030	超過	1530
71148	維多利亞	1529
56769	教授	1524
10570	自己	1520
51801	賽事	1511
53985	計劃	1507
23045	加入	1505
60443	居民	1504
52370	有關	1503
55545	採用	1499
29214	哥倫比亞	1499
20720	故事	1497
14995	澳大利亞	1497
36616	行政	1496
30694	藝術	1490
29253	新界	1482
33975	結構	1481
68067	旗下	1479
31647	公園	1479
70082	運動員	1475
26586	江西	1475
44981	東南	1474
31933	以南	1469
52027	紀念	1466
20221	團體	1462
25688	山西	1458
49985	功能	1454
57812	首次	1450
14815	全球	1450
44729	但是	1449
37688	江蘇省	1445
20484	需要	1445
21617	戰爭	1444
41438	區的	1443
40479	聯盟	1440
26187	河南	1436
31970	以北	1433
93	合併	1432
18873	或稱	1432
50421	表示	1431
27257	概念	1431
1387	共和國	1424
53002	浙江省	1421
26014	而成	1421
55887	名為	1407
43490	海水魚	1407
65384	企業	1403
37215	一次	1401
62968	下轄	1400
56294	通知	1400
14778	是以	1400
32015	位置	1398
5692	廣泛	1397
25042	基礎	1397
20584	專輯	1397
41311	描述	1396
4933	路線	1394
69319	標準	1389
55384	官員	1387
5274	以西	1386
20449	科學	1381
12744	任何	1380
33844	行為	1378
58136	流域面積	1377
13527	類似	1372
128	第三	1372
70922	山谷	1370
50641	馬來西亞	1366
71073	方面	1361
6260	重點	1361
35513	保護	1360
35075	俗稱	1356
20476	直接	1350
45261	得名	1349
57005	當地	1345
45822	一名	1345
21403	發源	1344
20150	產品	1344
69945	部門	1332
39652	只有	1328
33433	現任	1327
21836	對於	1327
1873	道路	1326
58064	平均	1325
4581	定義	1320
70219	萬立方米	1319
68989	韓國	1317
12662	最初	1313
70739	相對	1311
10030	流經	1308
38691	軍事	1304
40011	個人	1303
21963	主席	1301
6323	進入	1300
159	庫容	1300
15289	意思	1300
71701	一項	1297
26742	江蘇	1297
